GEOID,food_insecurity_rate,food_insecure_count
00000037010,6.409953848215517,360
00000037012,19.65771615179285,460
00000037013,15.657577231774106,15091
00000037014,10.372676442969219,259
00000037015,14.327901511772598,2688
00000037016,15.157288784767397,147
00000037018,13.74976923871311,329
00000037020,9.189863851561322,484
00000037022,14.486402069300098,880
00000037025,13.527583265431309,917
00000037026,16.4107032462871,410
00000037027,4.591399450020152,2818
00000037029,8.260017478333067,519
00000037030,16.056245745327516,1165
00000037031,11.553239005683373,496
00000037032,9.71894864775433,453
00000037033,17.617402764505623,1386
00000037034,8.004592488355474,673
00000037035,11.295923922142522,429
00000037036,13.066722985806603,848
00000037037,8.02853162685171,712
00000037043,8.61083142813072,4546
00000037046,8.661012051476243,515
00000037048,9.910629328689422,687
00000037049,10.734695944230396,383
00000037051,17.087202498062755,687
00000037052,15.991770371631286,456
00000037055,15.353546675426518,4502
00000037057,11.235846461547034,114
00000037060,8.233613313085808,240
00000037062,17.369053785977705,2208
00000037064,12.877031499049096,8038
00000037066,14.218267785947475,8441
00000037067,11.406555802657326,3589
00000037069,7.43427334095284,1549
00000037072,13.534427047303623,4475
00000037073,11.255682264353917,1633
00000037074,13.555904254422263,1412
00000037075,10.439448162037158,7414
00000037076,13.751687294616035,5408
00000037078,9.1054676575443,65
00000037080,13.956779663541246,1037
00000037082,9.214643310200332,566
00000037083,14.215825148903171,2244
00000037085,9.676560007951185,510
00000037086,13.17836373620826,4937
00000037087,14.797452168516259,7644
00000037090,14.660303876682546,2693
00000037091,16.482263883761217,3717
00000037095,19.394109482829673,394
00000037096,18.100963226869442,1052
00000037097,20.108509683448194,456
00000037098,14.051643058332031,761
00000037101,13.929788458623054,903
00000037110,18.230765924266116,6007
00000037115,20.089210474876968,8000
00000037118,10.940970509448238,154
00000037122,8.648777823486151,5537
00000037127,11.692401140764296,2380
00000037128,9.450961853086014,6647
00000037129,10.963323678867255,6632
00000037130,18.49772856815319,11035
00000037135,6.2702951064148085,1328
00000037137,18.81522020900994,532
00000037138,11.309832849901133,2673
00000037140,20.717838384398902,282
00000037141,9.412975108694187,112
00000037143,9.846889976760735,397
00000037145,13.40077503785753,334
00000037146,7.698751451239451,583
00000037148,14.638050029922603,3706
00000037149,15.548383466107495,416
00000037150,23.65499962686849,1171
00000037151,11.199461685482275,60
00000037153,7.714063062212599,442
00000037160,17.23343892745136,6372
00000037165,18.47267720165951,12
00000037166,19.79549961662699,2846
00000037167,14.249728467554993,8796
00000037171,15.537952319377535,180
00000037172,15.989743417381517,5093
00000037174,10.589557337741514,5173
00000037179,9.470088817041168,1609
00000037180,10.173281874575386,337
00000037181,17.744597987087396,268
00000037184,14.501396162543193,906
00000037186,17.625288386339864,1809
00000037187,13.843936981722365,1022
00000037188,10.010997083348878,1630
00000037189,10.43092160990907,379
00000037190,17.112057778785868,1528
00000037201,10.372314902069167,254
00000037203,21.136990607831308,4318
00000037204,7.691402613799357,1227
00000037205,5.677317963050541,1394
00000037206,14.412188615621947,4005
00000037207,19.470408106186543,7539
00000037208,21.400157541318745,4624
00000037209,14.027784768396021,5485
00000037210,26.021390287396933,4459
00000037211,17.17267359199125,14052
00000037212,15.372784443899029,3431
00000037213,40.248138799127986,45
00000037214,13.635815872618807,4156
00000037215,5.149485468046813,1223
00000037216,11.600322609803602,2110
00000037217,18.3342731847961,6069
00000037218,17.403566772237234,2589
00000037219,10.694280520982295,242
00000037220,3.5913067478512946,242
00000037221,9.712513936151288,4110
00000037228,24.404438799127988,417
00000037238,9.003338799127992,1
00000037357,15.992556557353202,1021
00000038401,14.350866039184165,9052
00000038451,11.581857673239067,636
00000038454,14.375352933201855,156
00000038461,16.470504455415654,251
00000038462,17.18306720492753,1802
00000038472,15.483732362078968,413
00000038474,15.22780845863139,1225
00000038476,12.691045461687848,164
00000038482,12.997105234848123,230
00000038483,12.674514724888716,773
00000038487,14.207764891071303,171
00000038547,14.931261685482273,314
00000038548,14.798853778593532,120
00000038552,18.255761685482273,64
00000038560,18.255761685482273,239
00000038562,19.66182470808077,1239
00000038563,16.08184895747255,397
00000038564,20.348284899426766,119
00000038567,13.732457507490583,119
00000038569,16.527836064450597,68
00000038582,13.436150059641369,193
00000038588,24.45337395743632,273
